Input.turn_id,Input.query,Input.passage_id,Input.passage,Input.relevance_score,chosen_sentences,not_chosen_sentences,empty_annotations
103_5,How did Jerry Garcia lose his finger?,CAR_2056058ced07520cdb2f32990aa92642d79d8be0,"Less than a year after he lost most of his finger, his father died. Vacationing with his family near Arcata in Northern California in 1947, Garcia's father went fly fishing in the Trinity River, part of the Six Rivers National Forest. Not long after entering the river, Garcia's father slipped on a rock, lost his balance and was swept away by the river's rapids. He drowned before other fishermen could reach him. Although Garcia claimed he saw his father fall into the river, Dennis McNally, author of the book A Long Strange Trip: The Inside Story of the Grateful Dead, argues Garcia formed the memory after hearing others repeat the story. Blair Jackson, who wrote Garcia: An American Life, lends weight to McNally's claim. Jackson's evidence: a local newspaper article describing Jose's death failed to mention Garcia was present when his father died.",1,set(),"{'Although Garcia claimed he saw his father fall into the river, Dennis McNally, author of the book A Long Strange Trip: The Inside Story of the Grateful Dead, argues Garcia formed the memory after hearing others repeat the story.', 'Less than a year after he lost most of his finger, his father died.', 'He drowned before other fishermen could reach him.', ""Blair Jackson, who wrote Garcia: An American Life, lends weight to McNally's claim."", ""Jackson's evidence: a local newspaper article describing Jose's death failed to mention Garcia was present when his father died."", ""Not long after entering the river, Garcia's father slipped on a rock, lost his balance and was swept away by the river's rapids."", ""Vacationing with his family near Arcata in Northern California in 1947, Garcia's father went fly fishing in the Trinity River, part of the Six Rivers National Forest.""}",3
103_5,How did Jerry Garcia lose his finger?,CAR_6a74b83e7acabf953237b8730052ee54f368cdaf,"Precipitated by an unhealthy weight, bad eating habits, and recent drug use, Garcia collapsed into a diabetic coma in July 1986, waking up five days later. He later spoke about this period of unconsciousness as surreal: 'Well, I had some very weird experiences. My main experience was one of furious activity and tremendous struggle in a sort of futuristic, space-ship vehicle with insectoid presences. After I came out of my coma, I had this image of myself as these little hunks of protoplasm that were stuck together kind of like stamps with perforations between them that you could snap off.' Garcia's coma had a profound effect on him: it forced him to have to relearn how to play the guitar, as well as other, more basic skills. Within a handful of months, he quickly recovered, playing with the Jerry Garcia Band and the Grateful Dead again later that year. Garcia frequently saw a woman named Manasha Matheson during this period. Together they produced Garcia's fourth and final child, a girl named Keelin Noel Garcia, who was born December 20, 1987. (Jerry, Keelin, and Manasha toured and shared a home together as a family until 1993.) After Garcia's recovery, the band released a comeback album In the Dark in 1987, which became their best selling studio album. Inspired by Garcia's improved health and a successful album, the band's energy and chemistry peaked in the late 1980s and early 1990s.",1,set(),"{'Within a handful of months, he quickly recovered, playing with the Jerry Garcia Band and the Grateful Dead again later that year.', ""Together they produced Garcia's fourth and final child, a girl named Keelin Noel Garcia, who was born December 20, 1987."", 'My main experience was one of furious activity and tremendous struggle in a sort of futuristic, space-ship vehicle with insectoid presences.', ""He later spoke about this period of unconsciousness as surreal: 'Well, I had some very weird experiences."", ""Garcia's coma had a profound effect on him: it forced him to have to relearn how to play the guitar, as well as other, more basic skills."", ""After I came out of my coma, I had this image of myself as these little hunks of protoplasm that were stuck together kind of like stamps with perforations between them that you could snap off.'"", ""Inspired by Garcia's improved health and a successful album, the band's energy and chemistry peaked in the late 1980s and early 1990s."", 'Precipitated by an unhealthy weight, bad eating habits, and recent drug use, Garcia collapsed into a diabetic coma in July 1986, waking up five days later.', 'Garcia frequently saw a woman named Manasha Matheson during this period.', ""After Garcia's recovery, the band released a comeback album In the Dark in 1987, which became their best selling studio album."", '(Jerry, Keelin, and Manasha toured and shared a home together as a family until 1993.)'}",3
103_8,Who wrote Cassidy?,CAR_9de8964e257b549f775806cdc4e23b862f025b2f,"This was a significant show in Dead history, being the first to use an essentially complete version of the Wall of Sound setup. A short-lived sound system, it was diminished after less than two years due to high maintenance, transportation and assembly costs. They began work on it in 1973 and smaller versions of the system were used right up until this show. Also featured are the first performances of 'Scarlet Begonias' and 'Cassidy'.",1,"{'This was a significant show in Dead history, being the first to use an essentially complete version of the Wall of Sound setup.'}","{""Also featured are the first performances of 'Scarlet Begonias' and 'Cassidy'."", 'A short-lived sound system, it was diminished after less than two years due to high maintenance, transportation and assembly costs.', 'They began work on it in 1973 and smaller versions of the system were used right up until this show.'}",2
103_9,What else did John Barlow and Bob Weir write?,CAR_f4b06c5dd892af690db67ba5dc6c2ccc87eb48dc,"This was the third live multi-disk album in the Dead's past five releases, revealing how the group's reputation rested on their live performances. The album contained considerable new material in addition to versions of tracks found on previous studio albums. Lead guitarist Jerry Garcia continued his longtime collaboration with Robert Hunter, while rhythm guitarist Bob Weir had begun writing material with John Perry Barlow. Many of the new songs were not officially released in studio form, though they did appear on solo albums; consequently Europe '72 was treated as a new release rather than a live retrospective.",4,"{'Lead guitarist Jerry Garcia continued his longtime collaboration with Robert Hunter, while rhythm guitarist Bob Weir had begun writing material with John Perry Barlow.', ""Many of the new songs were not officially released in studio form, though they did appear on solo albums; consequently Europe '72 was treated as a new release rather than a live retrospective.""}","{""This was the third live multi-disk album in the Dead's past five releases, revealing how the group's reputation rested on their live performances."", 'The album contained considerable new material in addition to versions of tracks found on previous studio albums.'}",2
104_10,What are the important components of an information retrieval test collection?,CAR_c56480057a9a2b42a30ab6c7208ffd6cfc2b7074,"The TRECVID evaluation meetings are an on-going series of workshops focusing on a list of different information retrieval (IR) research areas in content-based retrieval and exploitation of digital video. TRECVID is co-sponsored by the National Institute of Standards and Technology (NIST) and other US government agencies. Various participating research groups make significant contributions. The goal of the workshops is to encourage research in content-based video retrieval and analysis by providing large test collections, realistic system tasks, uniform scoring procedures, and a forum for organizations interested in comparing their results.",1,set(),"{'The TRECVID evaluation meetings are an on-going series of workshops focusing on a list of different information retrieval (IR) research areas in content-based retrieval and exploitation of digital video.', 'TRECVID is co-sponsored by the National Institute of Standards and Technology (NIST) and other US government agencies.', 'The goal of the workshops is to encourage research in content-based video retrieval and analysis by providing large test collections, realistic system tasks, uniform scoring procedures, and a forum for organizations interested in comparing their results.', 'Various participating research groups make significant contributions.'}",3
104_10,What are the important components of an information retrieval test collection?,MARCO_5245403,"An information retrieval process begins when a user enters a query into the system. Queries are formal statements of information needs, for example search strings in web search engines.In information retrieval a query does not uniquely identify a single object in the collection.Instead, several objects may match the query, perhaps with different degrees of relevancy. An object is an entity that is represented by information in a database.earches can be based on metadata or on full-text (or other content-based) indexing. Automated information retrieval systems are used to reduce what has been called  information overload . Many universities and public libraries use IR systems to provide access to books, journals and other documents.",1,"{'An information retrieval process begins when a user enters a query into the system.', 'An object is an entity that is represented by information in a database.earches can be based on metadata or on full-text (or other content-based) indexing.'}","{'Many universities and public libraries use IR systems to provide access to books, journals and other documents.', 'Queries are formal statements of information needs, for example search strings in web search engines.In information retrieval a query does not uniquely identify a single object in the collection.Instead, several objects may match the query, perhaps with different degrees of relevancy.', 'Automated information retrieval systems are used to reduce what has been called  information overload .'}",2
104_4,What did Cyril Cleverdon's studies contribute to the evaluation of Information Retrieval systems?,CAR_2ba6e4254c1b2f9573e435b48e77fbcb530ccf50,"Information retrieval (IR) is the area of study concerned with searching for documents, for information within documents, and for metadata about documents, as well as that of searching structured storage, relational databases, and the World Wide Web. Automated information retrieval systems are used to reduce what has been called 'information overload'. Many universities and public libraries use IR systems to provide access to books, journals and other documents. Web search engines are the most visible IR applications.",0,set(),"{'Information retrieval (IR) is the area of study concerned with searching for documents, for information within documents, and for metadata about documents, as well as that of searching structured storage, relational databases, and the World Wide Web.', ""Automated information retrieval systems are used to reduce what has been called 'information overload'."", 'Many universities and public libraries use IR systems to provide access to books, journals and other documents.', 'Web search engines are the most visible IR applications.'}",3
104_6,How did the Cranfield Experiments influence modern information retrieval evaluation initiatives?,CAR_f33ab18d9f433da1dd64162661d0a4a86b1018b7,"Together, these components form an information retrieval test collection. The test collection serves as a standard for testing retrieval approaches, and the success of each approach is measured in terms of two measures: precision and recall. Test collections and evaluation measures based on precision and recall are driving forces behind modern research on search systems. Cleverdon's approach formed a blueprint for the successful Text Retrieval Conference series that began in 1992.",1,"{""Cleverdon's approach formed a blueprint for the successful Text Retrieval Conference series that began in 1992."", 'Test collections and evaluation measures based on precision and recall are driving forces behind modern research on search systems.'}","{'The test collection serves as a standard for testing retrieval approaches, and the success of each approach is measured in terms of two measures: precision and recall.', 'Together, these components form an information retrieval test collection.'}",2
104_8,What are some recent TREC tasks?,CAR_fab48deecb67593175fe43a9731fbeb4f9c37eea,The term 'adversarial information retrieval' was first coined in 2000 by Andrei Broder (then Chief Scientist at Alta Vista) during the Web plenary session at the TREC-9 conference.,1,"{""The term 'adversarial information retrieval' was first coined in 2000 by Andrei Broder (then Chief Scientist at Alta Vista) during the Web plenary session at the TREC-9 conference.""}",set(),2
105_8,Why were Rafael Ramos and Wenjian Liu killed?,CAR_01c1c4a6ca3020e529b9c624879846af00b115ca,"Opposition gatherings are frequently the subject of brutal attacks by the police force, such as the crackdown on an 11 March 2007 Movement for Democratic Change (MDC) rally. In the events, party leader Morgan Tsvangirai and 49 other opposition activists were arrested and severely beaten by the police. Edward Chikombo, a journalist who sent images of the beatings to foreign media, was abducted and murdered a few days later. After his release, Morgan Tsvangirai told the BBC that he suffered head injuries and blows to the arms, knees and back, and that he lost a significant amount of blood. The police action was strongly condemned by the UN Secretary-General, Ban Ki-moon, the European Union and the United States. While noting that the activists had suffered injuries, but not mentioning the cause of them, the Zimbabwean government-controlled daily newspaper The Herald claimed the police had intervened after demonstrators 'ran amok looting shops, destroying property, mugging civilians, and assaulting police officers and innocent members of the public'. The newspaper also argued that the opposition had been 'wilfully violating the ban on political rallies'.",0,set(),"{'Edward Chikombo, a journalist who sent images of the beatings to foreign media, was abducted and murdered a few days later.', 'Opposition gatherings are frequently the subject of brutal attacks by the police force, such as the crackdown on an 11 March 2007 Movement for Democratic Change (MDC) rally.', ""While noting that the activists had suffered injuries, but not mentioning the cause of them, the Zimbabwean government-controlled daily newspaper The Herald claimed the police had intervened after demonstrators 'ran amok looting shops, destroying property, mugging civilians, and assaulting police officers and innocent members of the public'."", 'After his release, Morgan Tsvangirai told the BBC that he suffered head injuries and blows to the arms, knees and back, and that he lost a significant amount of blood.', ""The newspaper also argued that the opposition had been 'wilfully violating the ban on political rallies'."", 'In the events, party leader Morgan Tsvangirai and 49 other opposition activists were arrested and severely beaten by the police.', 'The police action was strongly condemned by the UN Secretary-General, Ban Ki-moon, the European Union and the United States.'}",3
105_8,Why were Rafael Ramos and Wenjian Liu killed?,MARCO_801480,"Black Lives Matter is an international activist movement, originating in the African-American community, that campaigns against violence and systemic racism towards black people. BLM regularly holds protests speaking out against police killings of black people, and broader issues such as racial profiling, police brutality, and racial inequality in the United States criminal justice system. In 2013, the movement began with the use of the hashtag #BlackLivesMatter on social media after the acquitt",0,set(),"{'In 2013, the movement began with the use of the hashtag #BlackLivesMatter on social media after the acquitt', 'Black Lives Matter is an international activist movement, originating in the African-American community, that campaigns against violence and systemic racism towards black people.', 'BLM regularly holds protests speaking out against police killings of black people, and broader issues such as racial profiling, police brutality, and racial inequality in the United States criminal justice system.'}",3
132_1-1,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?",MARCO_33_1621342262-5,"This isn't technically Prime Minister Boris Johnson's idea - he inherited the pledge from the former prime minister Theresa May, who put the commitment into law in June last year. But Mr Johnson has said he wanted fighting climate change to be one of his government's biggest priorities and he has made a series of announcements around renewable energy, national parks and protecting the environment.  Have previous COP events made an impact?  Getty Images COP 25: The conference in Madrid became the longest on record, finishing almost two days later than planned, after more than two weeks of tense negotiations.  It was hoped the conference would show that world leaders were aware of how much needed to be done.  Instead, the main focus ended up being climate activist Greta Thunberg, who arrived from her transatlantic journey by sailing boat just in time to join the event.  There were also big protests by young people - angry at the lack of progress being made by leaders to fight climate change - in the Spanish capital.  To enjoy the CBBC Newsround website at its best you will need to have JavaScript turned on.  2.42.4.a5b3b2a",2,set(),"{""But Mr Johnson has said he wanted fighting climate change to be one of his government's biggest priorities and he has made a series of announcements around renewable energy, national parks and protecting the environment."", 'Have previous COP events made an impact?', ""This isn't technically Prime Minister Boris Johnson's idea - he inherited the pledge from the former prime minister Theresa May, who put the commitment into law in June last year."", 'Getty Images COP 25: The conference in Madrid became the longest on record, finishing almost two days later than planned, after more than two weeks of tense negotiations.', 'There were also big protests by young people - angry at the lack of progress being made by leaders to fight climate change - in the Spanish capital.', 'It was hoped the conference would show that world leaders were aware of how much needed to be done.', 'To enjoy the CBBC Newsround website at its best you will need to have JavaScript turned on.', '2.42.4.a5b3b2a', 'Instead, the main focus ended up being climate activist Greta Thunberg, who arrived from her transatlantic journey by sailing boat just in time to join the event.'}",3
